Tunnusluku,Yksikkö,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Päivämäärä,,12/31/11,12/31/12,12/31/12,12/31/12,12/31/12,12/31/12,12/31/12,12/31/12,12/31/13,12/31/13,12/31/13,12/31/13,12/31/13,12/31/13,12/31/13,12/31/14,12/31/14,12/31/14,12/31/14,12/31/14,12/31/14,12/31/15,12/31/15,12/31/15,12/31/15,12/31/15,12/31/15,12/31/16,12/31/16,12/31/16,12/31/16,12/31/16,12/31/16,12/31/17,12/31/17,12/31/17,12/31/17,12/31/17,12/31/17,12/31/18,12/31/18,12/31/18,12/31/18,12/31/18,12/31/19,12/31/19,12/31/19,12/31/19
Yhtiö,,Veritas,Alandia,Etera,Fennia,Ilmarinen,Tapiola,Varma,Veritas,Alandia,Etera,Fennia,Ilmarinen,LähiTapiola,Varma,Veritas,Alandia,Elo,Etera,Ilmarinen,Varma,Veritas,Alandia,Elo,Etera,Ilmarinen,Varma,Veritas,Alandia,Elo,Etera,Ilmarinen,Varma,Veritas,Alandia,Elo,Etera,Ilmarinen,Varma,Veritas,Alandia,Elo,Ilmarinen,Varma,Veritas,Elo,Ilmarinen,Varma,Veritas
Vakavaraisuuspääoma,teur,310753.54219,74803,1025896,1394596.65045341,5752376.03355512,2147651.91,7716299.58,452659.63987,80969.29692,765279,1667113.91069808,7122607.53344162,2122996.83,9139722.2165,541144.23138,87735,4083979.7388619,860836,7904482.21633867,10252461.4,595937.0119,87327.2367300001,4042144.60860857,751218,8244206.53876758,9956064.697,616574.48669,89628.6267,4270925.80359,845532.14277,8460001.32456463,10199455.891,681556.59213,100356.32429,4815500.06329,929637,9420727.59266287,11534361.767,778501.45547,89709.524,3935122.80953,8917746.59439568,9618534.45,662716.59308,5081800,10791800,11646300,820500
Eläkevarat vastuuvelasta,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.041586758838,125.850265915589,116.397067409163,131.181162026406,133.517166945785,131.60323010817,137.365637188575,120.621280487006,123.745172747951,127.467825471255,126.198084475317,124.4,126.6,130.8,127.2
Vakavaraisuuspääoma vastuuvelasta,%,17.6651692426313,41.6820367656482,21.3066716788805,22.3265659524063,23.8819353622772,27.0059437071519,28.0308595122112,24.0892300290793,43.6265238205744,15.4360547967752,25.1239270655779,28.0009995218041,25.0801847926611,31.5589562057188,27.6147204659853,45.1416455154977,25.8130165917775,16.9383950676071,29.8007316100603,34.042363817409,28.941671521182,41.9146298398219,24.11553675736,14.2382896569606,29.5517669388191,31.3503413453398,28.0970026630781,41.010394232925,24.2800438160359,15.5362074090284,29.1603899548133,30.8832554849619,29.4550994631458,,,,,,,,,,,,,,,
Vakavaraisuuspääoma suhteessa vakavaraisuusrajaan,,2.26331444492393,3.54740738431049,3.3538232913655,2.77777835133652,2.15761433599221,2.68715857782606,2.38188159159859,2.39187622444986,3.87929253250706,1.77207971767771,2.36913401559555,1.93856818753777,1.94125043754027,2.1835317387764,2.09551680573572,4.20951755647045,2.09518347488529,1.642590677619,1.99200911185594,2.15825725808938,2.22714177882406,3.48324622632432,2.0044756123241,1.40433677131027,2.03850998446758,1.86153614261069,2.23536200654513,3.06897871064658,1.80387191462946,1.39802486888874,2.00069802539943,1.8698327736748,2.60416137484262,2.70892533080136,1.58394410398457,1.55553744318519,1.7534403026884,1.69130465994919,2.24341436689189,3.24295024576514,1.61853414910476,1.59474058158507,1.6103847175655,2.28884215106775,1.6,1.63,1.8,2.0
Tasoitusmäärä,teur,119433.91,12703,575982,225733.526562359,986024.6,268633.669,1107608.28,124150.56,11859.06,575503,216818.416707019,971185.996,258523.492,1118125.916,116196.65,12027.8,463047.405,592412,1016471.839,1180040.245,124249.57,12043.14,461571.332708574,594904,1048636.883,1202938.752,130817.61,12023,364051.633,585457,927641.091110273,1067373.904,126245.02,,,160625,,,,,,,,,,,,
Eläkevarat,teur,2055000.87,253498.65166,5810738,7621455.99867,29781890.15,10071468,35198363,2320127,265716,5687722,8284368.562,32513312.5459598,10558235,38040185,2489308,281189,19869413.1269829,5908625,34388474.1285137,40297522,2643069.95,294690.75535,20772068.24012,5997388,36098673.68789,41628524,2798264,307128.56086,21825320.68352,6263716,37422895.53116,43127218,2984008,333523.651,23443935.37229,6599162,39633609.28003,45947657,3241860,329794.7825,23017947.52553,46473794,44635991,3192356,25886000,51342100,49444700,3833500
Siirto asiakashyvityksiin TyEL-palkkasummasta,%,0.203891194929192,0.88617849868707,0.33,0.37229123369214,0.371387480143946,0.47,0.44,0.27,0.68,0.22,0.436633591682751,0.510597874487918,0.48,0.589445093021172,0.32,0.7,0.511297913726981,0.3,0.56,0.66,0.350085062232102,1.32,0.51733932194988,0.39,0.588553240045643,0.63,0.34,0.003213827600249,0.487937694212193,0.45,0.607576840600429,0.64,0.38,0.905455389601134,0.567294517226894,0.52,0.718193911117835,0.83,0.45,0.688899108931759,0.539802275801785,0.6,0.75,0.41,0.61,0.75,0.81,0.5
TyEL-palkkasumma,teur,1525252.31,300382.639,2651799,5041357.3921325,16694154.573,5932219,17706100,1618427,311575,2723000,4981739.686855,16842995.231,6054152,17813364,1601140,307308,11025890.09,2697880.0383943,16713350,17826921,1597349.023,326455.284,11258069.062,2633193,16651000,18367416,1629650,335043.447,11943738.041,2749062,16788000,18834837,1692544,350262.302,12717027.542,3010000,16708579.416,19366700,1708800,368017.156,13312652.2842575,20567984,20384800,1765043,14326700,21923200,21083.9,2159200
YEL-työtulosumma,teur,240855.09,36239.55963,108670,879327.71402,1366854.842,999434,909900,249398,37258,120000,873347.1517,1433051.697,1050453,901354,252128,36777,1937081.804,136798,1482425,894389,255124.78861,35697.8999,1888039.643,162963,1484622.492,870752,256534,34558.38317,1861568.94429,179627,1470576.24,830569,252487,34305.73036,1824216.74962,191000,1483643.46,801978,241656,33449.95338,1783730.991,1682452,797042,242921,1767000,1678200,811500,289600
TyEL-vakuutuksia,kpl,7193,956,17500,22930,37462,25314,27600,6991,939,16400,21700,38237,26265,26900,6791,909,46103,16300,38487,27200,6931,895,46015,24500,38354,27150,7041,904,45149,26000,38131,26120,7134,900,45061,29000,38766,25575,7315,901,45814,73370,26030,7810,46295,70491,27590,8885
TyEL-vakuutettuja,kpl,55181,10784,206000,188920,529000,210572,498500,54331,10790,206000,177020,529000,217775,491400,53339,10298,398079,203000,511000,488200,53817,11047,398217,200000,500000,486960,53503,11263,407622,200000,502000,493890,56503,11787,424461,112000,503800,501320,54960,12622,440154,624800,523270,58268,410232,609862,504131,62263
YEL-vakuutuksia,kpl,11671,1302,6400,39600,58776,50997,41280,11290,1286,6700,37400,60612,51953,39810,10870,1268,87350,7529,61941,38940,10739,1252,85054,8964,61851,37380,10735,1227,84578,9620,61486,36018,10457,1251,83978,9870,63052,35900,10265,1249,83724,74443,36700,10880,83345,76063,37800,12940
Eläkkeensaajia,kpl,27000,3938,147166,86370,307934,122729,331400,27581,4054,144527,88500,313962,125266,333700,28424,4119,217443,141202,318867,334500,28673,4264,216769,138117,323172,337100,29560,4391,219725,135337,329323,340100,30351,4508,227212,132877,336654,342600,31206,4690,237904,459993,343400,31634,240942,459932,343700,37118
